Overall#,Team,Player,Seasons,GP,G,A,TP,PIM,Draft Year,link,playername,position,is_fwd,is_def,is_goalie
103,Phoenix Coyotes,Vladimir Ruzicka (F),,,,,,,2007,https://www.eliteprospects.com/player/9283/vladimir-ruzicka,Vladimir Ruzicka ,F,1,0,0
104,Toronto Maple Leafs,Ben Winnett (F),,,,,,,2007,https://www.eliteprospects.com/player/12537/ben-winnett,Ben Winnett ,F,1,0,0
105,Colorado Avalanche,Brad Malone (F),9,216,14,18,32,204,2007,https://www.eliteprospects.com/player/12188/brad-malone,Brad Malone ,F,1,0,0
106,New York Islanders,Maxim Grachyov (F),,,,,,,2007,https://www.eliteprospects.com/player/11128/maxim-grachyov,Maxim Grachyov ,F,1,0,0
107,Tampa Bay Lightning,Mitch Fadden (F),,,,,,,2007,https://www.eliteprospects.com/player/11058/mitch-fadden,Mitch Fadden ,F,1,0,0
108,Washington Capitals,Brett Bruneteau (F),,,,,,,2007,https://www.eliteprospects.com/player/12538/brett-bruneteau,Brett Bruneteau ,F,1,0,0
109,Los Angeles Kings,Dwight King (F),7,365,53,56,109,98,2007,https://www.eliteprospects.com/player/12539/dwight-king,Dwight King ,F,1,0,0
110,Minnesota Wild,Justin Falk (D),10,279,3,30,33,219,2007,https://www.eliteprospects.com/player/12543/justin-falk,Justin Falk ,D,0,1,0
111,Pittsburgh Penguins,Luca Caputi (F),3,35,3,6,9,20,2007,https://www.eliteprospects.com/player/11313/luca-caputi,Luca Caputi ,F,1,0,0
112,Dallas Stars,Colton Sceviour (F),11,535,66,90,156,136,2007,https://www.eliteprospects.com/player/12557/colton-sceviour,Colton Sceviour ,F,1,0,0
113,Colorado Avalanche,Kent Patterson (G),,,,,,,2007,https://www.eliteprospects.com/player/12190/kent-patterson,Kent Patterson ,G,0,0,1
114,Nashville Predators,Ben Ryan (F),,,,,,,2007,https://www.eliteprospects.com/player/12558/ben-ryan,Ben Ryan ,F,1,0,0
115,Atlanta Thrashers,Niclas Lucenius (F),,,,,,,2007,https://www.eliteprospects.com/player/9271/niclas-lucenius,Niclas Lucenius ,F,1,0,0
116,Calgary Flames,Keith Aulie (D),5,167,4,10,14,196,2007,https://www.eliteprospects.com/player/12561/keith-aulie,Keith Aulie ,D,0,1,0
117,New Jersey Devils,Matt Halischuk (F),8,280,33,42,75,57,2007,https://www.eliteprospects.com/player/12560/matt-halischuk,Matt Halischuk ,F,1,0,0
118,Pittsburgh Penguins,Alex Grant (D),2,7,2,0,2,9,2007,https://www.eliteprospects.com/player/11393/alex-grant,Alex Grant ,D,0,1,0
119,Nashville Predators,Mark Santorelli (F),,,,,,,2007,https://www.eliteprospects.com/player/11052/mark-santorelli,Mark Santorelli ,F,1,0,0
120,Ottawa Senators,Ben Blood (D),,,,,,,2007,https://www.eliteprospects.com/player/14382/ben-blood,Ben Blood ,D,0,1,0
121,Anaheim Ducks,Mattias Modig (G),,,,,,,2007,https://www.eliteprospects.com/player/2356/mattias-modig,Mattias Modig ,G,0,0,1
122,Philadelphia Flyers,Mario Kempe (F),2,70,6,7,13,22,2007,https://www.eliteprospects.com/player/4407/mario-kempe,Mario Kempe ,F,1,0,0
123,Phoenix Coyotes,Maxim Goncharov (D),,,,,,,2007,https://www.eliteprospects.com/player/11861/maxim-goncharov,Maxim Goncharov ,D,0,1,0
124,Los Angeles Kings,Linden Rowat (G),,,,,,,2007,https://www.eliteprospects.com/player/11343/linden-rowat,Linden Rowat ,G,0,0,1
125,Washington Capitals,Brett Leffler (F),,,,,,,2007,https://www.eliteprospects.com/player/13812/brett-leffler,Brett Leffler ,F,1,0,0
126,Chicago Blackhawks,Joe Lavin (D),,,,,,,2007,https://www.eliteprospects.com/player/12459/joe-lavin,Joe Lavin ,D,0,1,0
127,Edmonton Oilers,Milan Kytnár (F),1,1,0,0,0,0,2007,https://www.eliteprospects.com/player/11850/milan-kytnar,Milan Kytnár ,F,1,0,0
128,Dallas Stars,Austin Smith (F),,,,,,,2007,https://www.eliteprospects.com/player/18748/austin-smith,Austin Smith ,F,1,0,0
129,Dallas Stars,Jamie Benn (F),14,975,339,456,795,750,2007,https://www.eliteprospects.com/player/15399/jamie-benn,Jamie Benn ,F,1,0,0
130,Boston Bruins,Denis Reul (D),,,,,,,2007,https://www.eliteprospects.com/player/11845/denis-reul,Denis Reul ,D,0,1,0
131,Florida Panthers,John Lee (D),,,,,,,2007,https://www.eliteprospects.com/player/14400/john-lee,John Lee ,D,0,1,0
132,Carolina Hurricanes,Chris Terry (F),5,152,22,16,38,34,2007,https://www.eliteprospects.com/player/14370/chris-terry,Chris Terry ,F,1,0,0
133,Montréal Canadiens,Joe Stejskal (D),,,,,,,2007,https://www.eliteprospects.com/player/15058/joe-stejskal,Joe Stejskal ,D,0,1,0
